id_empresa,municipio,regiao,setor,cnae_grupo,porte,forma_juridica,ano_abertura,idade_anos,faturamento_anual,num_funcionarios,acesso_credito,participou_programa,exporta,nivel_inovacao,situacao_cadastral,sobreviveu_3anos
SC00034,Brusque,Vale do Itajaí,Comércio Varejista,47,ME,LTDA,2013,11,201627.45,5.0,0,0,0,1.0,Ativa,1
SC00035,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2019,5,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00036,Itajaí,Vale do Itajaí,Alimentação e Hospedagem,56,ME,LTDA,2019,5,189227.51,6.0,0,0,0,0.0,Ativa,1
SC00037,Chapecó,Oeste,Serviços,74,Grande,LTDA,2015,9,379150962.12,3.0,1,1,0,2.0,Ativa,1
SC00038,São José,Grande Florianópolis,Alimentação e Hospedagem,56,MEI,MEI,2010,14,81000.0,1.0,0,0,0,4.0,Suspensa,0
SC00039,Jaraguá do Sul,Norte,Indústria Têxtil,13,ME,LTDA,2017,7,360000.0,15.0,1,1,0,3.0,Suspensa,0
SC00040,Lages,Serra,Indústria Têxtil,13,ME,EI,2012,12,360000.0,14.0,0,1,0,2.0,Ativa,1
SC00041,Palhoça,Grande Florianópolis,Alimentação e Hospedagem,56,MEI,MEI,2010,14,81000.0,1.0,0,0,0,0.0,Baixada,0
SC00042,Camboriú,Vale do Itajaí,Indústria Têxtil,13,ME,LTDA,2020,4,360000.0,17.0,1,0,0,3.0,Ativa,1
SC00043,Palhoça,Grande Florianópolis,Indústria Têxtil,13,ME,LTDA,2012,12,360000.0,13.0,1,0,0,3.0,Ativa,1
SC00044,Florianópolis,Grande Florianópolis,Comércio Varejista,47,ME,LTDA,2020,4,298994.89,6.0,0,1,0,4.0,Ativa,1
SC00045,São Bento do Sul,Norte,Agronegócio,01,MEI,MEI,2017,7,81000.0,1.0,0,1,1,6.0,Ativa,1
SC00046,Florianópolis,Grande Florianópolis,Saúde e Bem-estar,86,MEI,MEI,2018,6,47584.49,1.0,0,0,0,4.0,Ativa,1
SC00047,Chapecó,Oeste,Alimentação e Hospedagem,56,MEI,MEI,2016,8,81000.0,1.0,0,0,0,2.0,Baixada,0
SC00048,Palhoça,Grande Florianópolis,Comércio Varejista,47,EPP,LTDA,2011,13,360001.0,3.0,0,0,0,2.0,Ativa,1
SC00049,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2023,1,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00050,Tubarão,Sul,Construção Civil,41,MEI,MEI,2011,13,81000.0,1.0,0,1,0,2.0,Ativa,1
SC00051,Jaraguá do Sul,Norte,Serviços,74,MEI,MEI,2015,9,81000.0,1.0,1,0,0,3.0,Ativa,1
SC00052,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2018,6,81000.0,1.0,0,0,0,1.0,Ativa,1
SC00053,Lages,Serra,Serviços,74,EPP,LTDA,2020,4,508004.22,5.0,0,0,0,0.0,Ativa,1
SC00054,Florianópolis,Grande Florianópolis,Indústria Têxtil,13,MEI,MEI,2020,4,81000.0,1.0,0,1,0,6.0,Ativa,1
SC00055,Balneário Camboriú,Vale do Itajaí,Construção Civil,41,ME,EI,2021,3,,10.0,0,1,0,3.0,Baixada,0
SC00056,São Bento do Sul,Norte,Indústria Metalmecânica,25,EPP,SLU,2011,13,2076322.75,20.0,0,0,0,0.0,Ativa,1
SC00057,Balneário Camboriú,Vale do Itajaí,Alimentação e Hospedagem,56,ME,EI,2022,2,360000.0,4.0,1,0,0,3.0,Suspensa,0
SC00058,Chapecó,Oeste,Construção Civil,41,EPP,LTDA,2018,6,360001.0,5.0,0,0,0,5.0,Suspensa,0
SC00059,Joinville,Norte,Saúde e Bem-estar,86,ME,EI,2020,4,282885.55,5.0,0,1,0,5.0,Ativa,1
SC00060,Camboriú,Vale do Itajaí,Tecnologia da Informação,62,ME,LTDA,2015,9,360000.0,5.0,0,0,0,5.0,Baixada,0
SC00061,Camboriú,Vale do Itajaí,Agronegócio,01,ME,SLU,2017,7,312615.42,2.0,0,0,0,4.0,Ativa,1
SC00062,Brusque,Vale do Itajaí,Alimentação e Hospedagem,56,EPP,SLU,2012,12,796665.16,13.0,1,1,0,1.0,Ativa,1
SC00063,Lages,Serra,Tecnologia da Informação,62,MEI,MEI,2016,8,81000.0,1.0,1,0,0,4.0,Ativa,1
SC00064,Joinville,Norte,Indústria Têxtil,13,ME,EI,2013,11,360000.0,10.0,0,0,0,3.0,Ativa,1
SC00065,Palhoça,Grande Florianópolis,Comércio Varejista,47,ME,LTDA,2016,8,360000.0,1.0,0,0,0,2.0,Baixada,0
SC00066,Lages,Serra,Indústria Têxtil,13,MEI,MEI,2020,4,81000.0,1.0,0,0,0,1.0,Suspensa,0
SC00067,Joinville,Norte,Comércio Varejista,47,ME,LTDA,2021,3,139331.68,3.0,0,0,0,6.0,Baixada,0
SC00068,Joinville,Norte,Serviços,74,MEI,MEI,2016,8,81000.0,1.0,0,0,0,,Baixada,0
SC00069,Chapecó,Oeste,Alimentação e Hospedagem,56,MEI,MEI,2022,2,81000.0,1.0,0,0,0,3.0,Baixada,0
SC00070,Blumenau,Vale do Itajaí,Indústria Metalmecânica,25,MEI,MEI,2019,5,81000.0,1.0,0,0,0,7.0,Baixada,0
SC00071,Lages,Serra,Comércio Varejista,47,EPP,LTDA,2013,11,446243.61,3.0,0,0,0,5.0,Ativa,1
SC00072,Brusque,Vale do Itajaí,Serviços,74,MEI,MEI,2021,3,81000.0,1.0,0,0,0,2.0,Baixada,0
SC00073,Blumenau,Vale do Itajaí,Serviços,74,Grande,S/A,2017,7,300000001.0,3.0,0,0,0,3.0,Ativa,1
SC00074,Lages,Serra,Comércio Varejista,47,ME,LTDA,2013,11,360000.0,4.0,1,0,0,2.0,Ativa,1
SC00075,Camboriú,Vale do Itajaí,Comércio Varejista,47,ME,LTDA,2010,14,360000.0,4.0,0,0,0,4.0,Ativa,1
SC00076,Joinville,Norte,Comércio Varejista,47,ME,LTDA,2014,10,208207.6,7.0,1,0,0,3.0,Ativa,1
SC00077,Jaraguá do Sul,Norte,Serviços,74,MEI,MEI,2020,4,81000.0,0.0,1,0,0,4.0,Ativa,1
SC00078,Blumenau,Vale do Itajaí,Construção Civil,41,MEI,MEI,2016,8,72125.23,1.0,1,0,0,2.0,Ativa,1
SC00079,Palhoça,Grande Florianópolis,Comércio Varejista,47,ME,SLU,2013,11,315052.36,5.0,0,1,0,2.0,Baixada,0
SC00080,São José,Grande Florianópolis,Serviços,74,ME,LTDA,2015,9,225340.65,5.0,0,0,0,4.0,Ativa,1
SC00081,Florianópolis,Grande Florianópolis,Alimentação e Hospedagem,56,MEI,MEI,2023,1,81000.0,1.0,0,0,0,4.0,Ativa,1
SC00082,Camboriú,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2016,8,81000.0,1.0,0,0,0,3.0,Baixada,0
SC00083,Florianópolis,Grande Florianópolis,Construção Civil,41,MEI,MEI,2022,2,81000.0,1.0,0,0,0,0.0,Baixada,0
SC00084,Florianópolis,Grande Florianópolis,Construção Civil,41,Médio,S/A,2016,8,6251998.53,10.0,0,0,1,4.0,Ativa,1
SC00085,Brusque,Vale do Itajaí,Serviços,74,ME,EI,2015,9,260403.44,0.0,0,0,0,2.0,Ativa,1
SC00086,São José,Grande Florianópolis,Serviços,74,ME,EI,2010,14,81326.67,0.0,0,1,0,4.0,Ativa,1
SC00087,Blumenau,Vale do Itajaí,Serviços,74,ME,LTDA,2022,2,157004.94,1.0,1,0,0,3.0,Ativa,1
SC00088,Criciúma,Sul,Alimentação e Hospedagem,56,ME,LTDA,2023,1,360000.0,,0,0,0,2.0,Ativa,1
SC00089,Palhoça,Grande Florianópolis,Comércio Varejista,47,ME,LTDA,2013,11,352466.92,3.0,1,0,0,1.0,Suspensa,0
SC00090,São José,Grande Florianópolis,Alimentação e Hospedagem,56,MEI,MEI,2012,12,81000.0,1.0,0,0,0,2.0,Ativa,1
SC00091,Itajaí,Vale do Itajaí,Saúde e Bem-estar,86,ME,LTDA,2022,2,360000.0,6.0,0,0,0,5.0,Ativa,1
SC00092,Criciúma,Sul,Comércio Varejista,47,ME,LTDA,2021,3,289218.56,4.0,0,0,0,2.0,Ativa,1
SC00093,Jaraguá do Sul,Norte,Alimentação e Hospedagem,56,ME,EI,2017,7,112587.63,,1,0,0,1.0,Baixada,0
SC00094,Chapecó,Oeste,Comércio Varejista,47,MEI,MEI,2019,5,81000.0,1.0,0,0,0,0.0,Ativa,1
SC00095,Florianópolis,Grande Florianópolis,Agronegócio,01,MEI,MEI,2011,13,81000.0,1.0,1,1,1,2.0,Baixada,0
SC00096,Florianópolis,Grande Florianópolis,Agronegócio,01,MEI,MEI,2020,4,81000.0,1.0,1,0,1,3.0,Ativa,1
SC00097,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2017,7,81000.0,1.0,0,0,0,1.0,Ativa,1
SC00098,Palhoça,Grande Florianópolis,Construção Civil,41,MEI,MEI,2011,13,81000.0,1.0,0,1,0,2.0,Ativa,1
SC00099,São Bento do Sul,Norte,Alimentação e Hospedagem,56,ME,LTDA,2011,13,360000.0,5.0,0,0,0,2.0,Baixada,0
SC00100,Brusque,Vale do Itajaí,Tecnologia da Informação,62,EPP,LTDA,2011,13,426219.74,6.0,0,1,0,9.0,Baixada,0
SC00101,Joinville,Norte,Serviços,74,MEI,MEI,2014,10,81000.0,1.0,1,0,0,2.0,Ativa,1
SC00102,Florianópolis,Grande Florianópolis,Serviços,74,ME,LTDA,2020,4,88745.87,5.0,0,0,0,3.0,Baixada,0
SC00103,Lages,Serra,Serviços,74,MEI,MEI,2019,5,81000.0,1.0,0,0,0,0.0,Baixada,0
SC00104,Criciúma,Sul,Comércio Varejista,47,ME,EI,2016,8,360000.0,3.0,0,0,0,1.0,Baixada,0
SC00105,Chapecó,Oeste,Serviços,74,MEI,MEI,2010,14,81000.0,1.0,0,0,0,1.0,Baixada,0
SC00106,Lages,Serra,Serviços,74,ME,LTDA,2014,10,360000.0,2.0,0,0,0,3.0,Suspensa,0
SC00107,Lages,Serra,Comércio Varejista,47,ME,SLU,2019,5,,6.0,0,0,0,2.0,Ativa,1
SC00108,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2023,1,81000.0,,0,0,0,0.0,Ativa,1
SC00109,Camboriú,Vale do Itajaí,Alimentação e Hospedagem,56,EPP,LTDA,2019,5,611880.39,8.0,0,1,0,2.0,Ativa,1
SC00110,São José,Grande Florianópolis,Alimentação e Hospedagem,56,ME,EI,2010,14,360000.0,4.0,1,1,0,0.0,Ativa,1
SC00111,São José,Grande Florianópolis,Comércio Varejista,47,ME,EI,2016,8,152772.7,4.0,0,0,0,5.0,Ativa,1
SC00112,Blumenau,Vale do Itajaí,Tecnologia da Informação,62,MEI,MEI,2016,8,81000.0,1.0,1,0,0,6.0,Baixada,0
SC00113,Balneário Camboriú,Vale do Itajaí,Serviços,74,EPP,S/A,2012,12,776440.03,4.0,0,0,0,4.0,Baixada,0
SC00114,Camboriú,Vale do Itajaí,Serviços,74,MEI,MEI,2023,1,81000.0,1.0,0,0,0,5.0,Baixada,0
SC00115,Brusque,Vale do Itajaí,Tecnologia da Informação,62,ME,EI,2012,12,360000.0,9.0,0,0,0,8.0,Ativa,1
SC00116,Palhoça,Grande Florianópolis,Tecnologia da Informação,62,EPP,LTDA,2020,4,469885.17,5.0,0,1,0,6.0,Ativa,1
SC00117,Florianópolis,Grande Florianópolis,Serviços,74,ME,LTDA,2023,1,294970.27,3.0,1,0,0,0.0,Ativa,1
SC00118,Chapecó,Oeste,Comércio Varejista,47,MEI,MEI,2023,1,81000.0,1.0,1,0,0,2.0,Ativa,1
SC00119,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2017,7,81000.0,1.0,0,0,0,1.0,Suspensa,0
SC00120,Joinville,Norte,Serviços,74,MEI,MEI,2023,1,81000.0,1.0,1,0,0,4.0,Ativa,1
SC00121,Blumenau,Vale do Itajaí,Serviços,74,ME,LTDA,2018,6,249887.88,2.0,1,0,0,5.0,Ativa,1
SC00122,Joinville,Norte,Serviços,74,Grande,LTDA,2017,7,583599470.93,1.0,0,0,0,2.0,Ativa,1
SC00123,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2020,4,80969.84,1.0,0,0,0,2.0,Baixada,0
SC00124,Florianópolis,Grande Florianópolis,Construção Civil,41,MEI,MEI,2020,4,81000.0,1.0,0,1,0,2.0,Ativa,1
SC00125,Florianópolis,Grande Florianópolis,Serviços,74,MEI,MEI,2011,13,81000.0,1.0,1,0,0,2.0,Baixada,0
SC00126,Chapecó,Oeste,Comércio Varejista,47,MEI,MEI,2016,8,81000.0,1.0,0,0,0,0.0,Ativa,1
SC00127,Itajaí,Vale do Itajaí,Serviços,74,ME,EI,2018,6,125588.94,1.0,1,0,0,4.0,Ativa,1
SC00128,Palhoça,Grande Florianópolis,Comércio Varejista,47,EPP,LTDA,2019,5,389547.04,1.0,0,0,0,3.0,Baixada,0
SC00129,Blumenau,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2020,4,81000.0,1.0,1,0,0,2.0,Ativa,1
SC00130,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2019,5,81000.0,1.0,0,1,0,2.0,Ativa,1
SC00131,Itajaí,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2015,9,71005.61,1.0,0,0,0,2.0,Ativa,1
SC00132,Itajaí,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2011,13,81000.0,1.0,0,0,0,0.0,Suspensa,0
SC00133,Brusque,Vale do Itajaí,Comércio Varejista,47,ME,LTDA,2021,3,323547.07,3.0,1,1,0,3.0,Ativa,1
SC00134,São José,Grande Florianópolis,Alimentação e Hospedagem,56,EPP,LTDA,2012,12,360001.0,,1,0,0,2.0,Baixada,0
SC00135,Jaraguá do Sul,Norte,Indústria Têxtil,13,ME,SLU,2019,5,360000.0,14.0,1,0,0,,Ativa,1
SC00136,Florianópolis,Grande Florianópolis,Serviços,74,ME,LTDA,2014,10,244787.65,3.0,0,0,0,3.0,Ativa,1
SC00137,Jaraguá do Sul,Norte,Comércio Varejista,47,MEI,MEI,2015,9,81000.0,1.0,0,0,0,2.0,Ativa,1
SC00138,São José,Grande Florianópolis,Agronegócio,01,MEI,MEI,2014,10,81000.0,1.0,0,0,0,5.0,Ativa,1
SC00139,Lages,Serra,Alimentação e Hospedagem,56,ME,LTDA,2011,13,360000.0,,0,0,0,1.0,Baixada,0
SC00140,Florianópolis,Grande Florianópolis,Comércio Varejista,47,ME,SLU,2016,8,156733.77,5.0,0,1,0,6.0,Suspensa,0
SC00141,Jaraguá do Sul,Norte,Comércio Varejista,47,MEI,MEI,2022,2,81000.0,1.0,0,0,0,1.0,Baixada,0
SC00142,Joinville,Norte,Comércio Varejista,47,ME,LTDA,2021,3,81001.0,5.0,1,0,0,2.0,Ativa,1
SC00143,Criciúma,Sul,Tecnologia da Informação,62,ME,LTDA,2022,2,333160.76,6.0,1,0,0,6.0,Ativa,1
SC00144,Florianópolis,Grande Florianópolis,Serviços,74,MEI,MEI,2015,9,81000.0,0.0,0,0,0,3.0,Ativa,1
SC00145,Blumenau,Vale do Itajaí,Indústria Têxtil,13,MEI,MEI,2010,14,,1.0,1,1,0,3.0,Ativa,1
SC00146,Chapecó,Oeste,Serviços,74,MEI,MEI,2020,4,81000.0,1.0,0,1,0,5.0,Baixada,0
SC00147,Jaraguá do Sul,Norte,Alimentação e Hospedagem,56,Grande,LTDA,2016,8,414070803.09,3.0,0,0,0,3.0,Ativa,1
SC00148,Jaraguá do Sul,Norte,Comércio Varejista,47,MEI,MEI,2013,11,81000.0,1.0,0,0,0,1.0,Ativa,1
SC00149,São Bento do Sul,Norte,Indústria Metalmecânica,25,ME,LTDA,2023,1,360000.0,19.0,0,0,0,7.0,Ativa,1
SC00150,Brusque,Vale do Itajaí,Comércio Varejista,47,Médio,S/A,2013,11,4800001.0,3.0,1,0,0,3.0,Suspensa,0
SC00151,Palhoça,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2013,11,81000.0,1.0,0,0,0,1.0,Ativa,1
SC00152,Lages,Serra,Indústria Têxtil,13,MEI,MEI,2014,10,81000.0,1.0,1,0,1,0.0,Suspensa,0
SC00153,Criciúma,Sul,Comércio Varejista,47,MEI,MEI,2012,12,81000.0,1.0,0,0,0,3.0,Baixada,0
SC00154,Florianópolis,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2011,13,81000.0,1.0,0,1,0,4.0,Ativa,1
SC00155,Itajaí,Vale do Itajaí,Comércio Varejista,47,MEI,MEI,2012,12,81000.0,1.0,1,0,0,3.0,Baixada,0
SC00156,São José,Grande Florianópolis,Comércio Varejista,47,MEI,MEI,2022,2,81000.0,1.0,0,0,0,0.0,Ativa,1
SC00157,Criciúma,Sul,Indústria Têxtil,13,EPP,S/A,2016,8,1134931.53,16.0,0,0,0,3.0,Ativa,1
SC00158,Joinville,Norte,Serviços,74,MEI,MEI,2019,5,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00159,Chapecó,Oeste,Serviços,74,EPP,LTDA,2017,7,360001.0,2.0,0,1,0,2.0,Ativa,1
SC00160,Joinville,Norte,Comércio Varejista,47,ME,EI,2022,2,279061.45,4.0,0,1,0,4.0,Baixada,0
SC00161,Lages,Serra,Alimentação e Hospedagem,56,Médio,LTDA,2012,12,4800001.0,9.0,0,1,0,2.0,Ativa,1
SC00162,Criciúma,Sul,Comércio Varejista,47,MEI,MEI,2010,14,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00163,Blumenau,Vale do Itajaí,Saúde e Bem-estar,86,ME,LTDA,2015,9,171613.02,7.0,0,1,0,5.0,Suspensa,0
SC00164,Joinville,Norte,Alimentação e Hospedagem,56,MEI,MEI,2012,12,81000.0,1.0,0,1,0,0.0,Ativa,1
SC00165,Joinville,Norte,Comércio Varejista,47,Médio,S/A,2020,4,9801771.88,6.0,0,1,0,4.0,Ativa,1
SC00166,São José,Grande Florianópolis,Comércio Varejista,47,ME,SLU,2010,14,360000.0,5.0,0,0,0,3.0,Ativa,1
SC00167,Chapecó,Oeste,Serviços,74,Grande,LTDA,2021,3,768719648.47,2.0,0,1,0,4.0,Ativa,1
SC00168,Florianópolis,Grande Florianópolis,Serviços,74,ME,LTDA,2019,5,360000.0,3.0,0,0,0,5.0,Ativa,1
SC00169,Balneário Camboriú,Vale do Itajaí,Serviços,74,MEI,MEI,2020,4,66001.63,1.0,0,0,0,3.0,Ativa,1
SC00170,Joinville,Norte,Serviços,74,MEI,MEI,2013,11,68141.74,1.0,0,0,0,5.0,Ativa,1
SC00171,Chapecó,Oeste,Indústria Têxtil,13,EPP,LTDA,2011,13,737690.2,14.0,0,0,0,3.0,Ativa,1
SC00172,Balneário Camboriú,Vale do Itajaí,Serviços,74,EPP,LTDA,2014,10,360001.0,3.0,0,0,0,0.0,Baixada,0
SC00173,Palhoça,Grande Florianópolis,Serviços,74,ME,LTDA,2022,2,81001.0,4.0,1,0,0,1.0,Ativa,1
SC00174,Brusque,Vale do Itajaí,Comércio Varejista,47,ME,SLU,2012,12,298341.65,2.0,0,0,0,0.0,Ativa,1
SC00175,Itajaí,Vale do Itajaí,Construção Civil,41,ME,EI,2010,14,282992.86,7.0,1,0,0,1.0,Baixada,0
SC00176,Criciúma,Sul,Tecnologia da Informação,62,ME,EI,2012,12,360000.0,2.0,0,0,0,8.0,Baixada,0
SC00177,São José,Grande Florianópolis,Comércio Varejista,47,EPP,LTDA,2022,2,360001.0,2.0,0,0,0,2.0,Ativa,1
SC00178,Camboriú,Vale do Itajaí,Serviços,74,MEI,MEI,2015,9,60004.78,1.0,0,0,0,,Baixada,0
SC00179,Chapecó,Oeste,Comércio Varejista,47,ME,EI,2022,2,,1.0,0,0,0,0.0,Ativa,1
SC00180,Blumenau,Vale do Itajaí,Construção Civil,41,MEI,MEI,2015,9,81000.0,1.0,0,0,0,2.0,Baixada,0
SC00181,Jaraguá do Sul,Norte,Serviços,74,ME,EI,2011,13,81001.0,6.0,0,1,0,4.0,Ativa,1
SC00182,Camboriú,Vale do Itajaí,Indústria Têxtil,13,ME,EI,2013,11,314282.51,11.0,0,0,0,2.0,Ativa,1
SC00183,Brusque,Vale do Itajaí,Serviços,74,EPP,LTDA,2017,7,483492.04,3.0,1,1,0,3.0,Ativa,1
SC00184,Camboriú,Vale do Itajaí,Agronegócio,01,EPP,LTDA,2015,9,672647.13,3.0,0,0,0,4.0,Baixada,0
SC00185,Camboriú,Vale do Itajaí,Indústria Têxtil,13,MEI,MEI,2019,5,81000.0,1.0,0,1,0,5.0,Ativa,1
SC00186,Brusque,Vale do Itajaí,Serviços,74,EPP,LTDA,2023,1,360001.0,1.0,1,0,0,5.0,Ativa,1
SC00187,Itajaí,Vale do Itajaí,Comércio Varejista,47,ME,SLU,2015,9,280621.56,4.0,0,0,0,5.0,Baixada,0
SC00188,Lages,Serra,Construção Civil,41,MEI,MEI,2020,4,81000.0,1.0,0,0,0,1.0,Baixada,0
SC00189,Joinville,Norte,Tecnologia da Informação,62,Grande,LTDA,2013,11,435898411.77,6.0,0,0,0,8.0,Ativa,1
SC00190,Chapecó,Oeste,Comércio Varejista,47,EPP,LTDA,2013,11,434986.37,4.0,0,0,0,1.0,Baixada,0
SC00191,Camboriú,Vale do Itajaí,Comércio Varejista,47,EPP,LTDA,2011,13,511528.87,3.0,0,0,0,2.0,Ativa,1
SC00192,Chapecó,Oeste,Comércio Varejista,47,MEI,MEI,2019,5,81000.0,1.0,0,0,0,3.0,Ativa,1
SC00193,Brusque,Vale do Itajaí,Serviços,74,MEI,MEI,2011,13,81000.0,1.0,1,0,0,3.0,Baixada,0
SC00194,Palhoça,Grande Florianópolis,Alimentação e Hospedagem,56,EPP,LTDA,2015,9,360001.0,5.0,0,0,0,3.0,Suspensa,0
SC00195,Blumenau,Vale do Itajaí,Tecnologia da Informação,62,MEI,MEI,2020,4,81000.0,1.0,0,0,0,9.0,Ativa,1
SC00196,Joinville,Norte,Comércio Varejista,47,ME,LTDA,2022,2,360000.0,3.0,0,0,0,2.0,Ativa,1
SC00197,Itajaí,Vale do Itajaí,Indústria Metalmecânica,25,ME,EI,2022,2,360000.0,19.0,0,0,0,3.0,Ativa,1
SC00198,Joinville,Norte,Tecnologia da Informação,62,EPP,LTDA,2010,14,769645.47,7.0,1,0,0,9.0,Ativa,1
SC00199,Blumenau,Vale do Itajaí,Serviços,74,ME,EI,2012,12,310706.38,3.0,0,1,0,2.0,Baixada,0
SC00200,Brusque,Vale do Itajaí,Indústria Têxtil,13,MEI,MEI,2020,4,81000.0,1.0,0,0,0,5.0,Ativa,1
SC00201,Florianópolis,Grande Florianópolis,Indústria Metalmecânica,25,ME,LTDA,2021,3,360000.0,13.0,1,0,0,5.0,Suspensa,0
SC00202,Chapecó,Oeste,Construção Civil,41,ME,SLU,2017,7,205931.24,5.0,0,0,0,4.0,Baixada,0
SC00203,Joinville,Norte,Comércio Varejista,47,MEI,MEI,2018,6,81000.0,1.0,0,1,0,4.0,Ativa,1
